,text_lb,text
1580,1.0,Nhân viên rất dễ thương❤️. Phòng ốc sạch sẽ. Món ăn ngon. View đẹp 👍
1581,1.0,"Phòng sạch và đẹp, ăn sáng ngon và nhiều món. View khách sạn khá đẹp."
1582,1.0,"Vị trí đẹp, không quá xa các điểm tham quan chính, dịch vụ ok. Có thể sử dụng phòng đôi với giường vua vào lần tới, nhưng vẫn còn."
1583,1.0,"Khách sạn đẹp, sạch sẽ, tiện lợi, ngay trung tâm. Nhân viên phục vụ tốt, thân thiện."
1584,1.0,"Chỗ ở rất đẹp Không khí lãng mạn như một khu nghỉ dưỡng ở châu Âu. Trồng rất nhiều hoa và nằm cạnh hồ. Phòng còn mới, sạch sẽ, ngủ thoải mái, nhân viên phục vụ rất tốt. Bữa sáng rất phong phú và ngon miệng. Giá trị đồng tiền"
1585,-1.0,"Ký túc xá tầm thường. Một số cơ sở không tốt, chẳng hạn như cửa phòng tắm và cửa phòng gác cửa không thể đóng chặt. Vị trí xung quanh ký túc xá quá đông đúc và ồn ào. Cầu thang hẹp và đủ cao."
1586,1.0,Một trải nghiệm tuyệt vời. Phòng sạch và thơm. nhân viên nhiệt tình thân thiện. Độ ăn sáng đa dạng và ngon. Nhất định sẽ quay lại vào dịp đi Đà Nẵng tới
1587,1.0,"Tôi đặt 3 phòng, 1 phòng giường đôi lớn và 2 phòng 2 giường nhỏ, nhưng đến nơi vào lúc 9g tối họ lại cho gia đình tôi ở 3 phòng 2 giường nhỏ, resort không có người khách nào khác ngoài chúng tôi nhưng họ cũng không chịu sắp xếp lại cho phù hợp, sau đó khi thực nhận phòng do 3 phòng không gần nhau nên họ đổi cho phòng ở gần thì có được 1 phòng giường đôi. Phòng xấu, hôi mùi mốc, sáng ăn sáng do không có khách nên chỉ có miến gà và bánh mì ốp la, nói chung chỗ ở và dịch vụ còn tệ hơn khách sạn 2*"
1588,1.0,Kì nghỉ tuyệt vời! Villa sạch sẽ và sang trọng
1589,1.0,"Khách sạn phục vụ chu đáo, nhân viên nhiệt tình thân thiện (cô Mai). Phòng standard đời Lê room hơi bí."
1590,1.0,"sạch sẽ, thoải mái và nhân viên rất thân thiện và hữu ích"
1591,1.0,"Khách sạn mới, đẹp, view đẹp, đồ ăn ngon, nhân viên lễ phép, chắc chắn sẽ quay lại khi đến sapa"
1592,1.0,"Phòng rộng và sạch sẽ, nhân viên thân thiện"
1594,1.0,"thật thu vị, khách sạn rất vui vẻ và nhiệt tình"
1595,1.0,"Khách sạn tốt. Mọi thứ đều tốt!!! địa điểm, dịch vụ, sạch sẽ ..."
1596,-1.0,Điều duy nhất tuyệt vời là vị trí. Phòng hơi bẩn và không được bảo trì tốt. Căn phòng nhỏ hơn rất nhiều so với những bức ảnh. Phòng tắm nhỏ và không có ngăn cách giữa nhà vệ sinh và vòi hoa sen nên mọi thứ đều ướt sau khi bạn tắm.
1597,-1.0,Đi vào thời gian mùa dịch ==> khách sạn vắng nên phòng trống cũng nhiều. mình thì có thói quen hút thuốc nên có yêu cầu khách sạn đổi phòng có cửa sổ. Khách sạn đồng ý cho đổi phòng có cửa sổ nhưng phụ thu thêm 100k. phòng thì kh rộng hơn được nhiêu hết. phòng không có cách âm nên bên ngoài nói gì hay mình làm gì trong phòng đều rất vang ra ngoài và nge rất rõ. Đi ra chơi hay đi mua đồ xí rồi về hay làm gì mà ra khỏi khách sạn đều phải gửi lại chìa khóa phòng cho lễ tân. thấy hơi xàm pha này. kì nghỉ chán phèo 😩
1598,1.0,Cực kỳ hài lòng. Phòng rất sạch đẹp và thoải mái. Chủ nhà thân thiện và dễ thương. Đáng để nghỉ tiếp vào lần sau.
1599,-1.0,"Phòng nghỉ bình thường, dọn phòng không thay khăn tắm, rất nhiều muỗi, ăn sáng không ngon, được cái ngoài mặt đường tiện bắt xe"
1602,1.0,Thật tuyệt vời cho kỳ nghỉ ở đây
1603,-1.0,nhân viên lễ tân quá tệ không quay lại nữa
1604,1.0,"Vị trí khá thuận tiện để di chuyển, phòng cũng ổn."
1609,1.0,"Khách sạn sạch sẽ dù nằm trong hẻm, ngay trung tâm, nhân viên rất nhiệt tình và thân thiện, khi đón tiếp có mời trái cây và nước ép. Sảnh chờ thoải mái có thể ngồi làm việc và đặt biệt là gọi nước uống miễn phí, ăn sáng không được đa dạng (đối với người Việt)"
1610,1.0,"Phòng đầy đủ tiện nghi cơ bản. Sân vườn khá đẹp, chồng mình sáng nào cũng dạy sớm pha trà rồi ra hiên cửa ngồi thưởng trà ngắm cây cối chim hót. Nhưng ở trong phòng nhiều muỗi lắm, hôm đầu không biết nên bị đốt đầy người, hôm sau thì mình mượn vợt muỗi của kháchsạn rồi đóng kín cửa thì không bị nữa. Nước trong phòng tắm thì mở vòi khá lâu mới có nước ấm. Các bạn lễ tân rất nhiệt tình."
1611,1.0,"Đó là một chất lượng tốt cho loại giá đó. Không gian rộng, phòng thoải mái. Rất thân thiện (và xinh đẹp) tiếp tân. Khoảng cách đi bộ đến bãi biển, và thực phẩm giá cả phải chăng đang trên đường. Nhân tiện, nó cũng khá gần sân bay. Quá hoàn hảo cho một chuyến đi vài ngày chỉ để tận hưởng bãi biển và hải sản. Tuy nhiên, đồ uống trong quán bar nhỏ hơi cũ mặc dù vẫn có thể sử dụng được."
1612,1.0,"Tôi có một phòng trên sàn nhà. 5. thực sự siêu dễ dàng cho mệt mỏi. đến giường đã chật vật. đặc biệt là nệm của tôi trên đầu quá. Sử dụng leo núi đầu tiên😂 Nhưng vị trí là ổn. gần những nơi để ăn, hồ, chợ, và những nơi khác. Chỉ sắt thôi. 1. hôm qua có một khoản vay, ông nói, nhưng không qua lại. Nếu bạn có một khoản vay dài, nó nên được thu thập. Người nghèo không thể sử dụng nó."
1614,1.0,"phong sạch sẽ, tiện nghi, hiện đại tuy hơi nhỏ, nhân vien siêu dễ thương, thân thiện, nhiệt tình"
1616,1.0,"Mọi thứ tốt, ngoài việc cách âm giữa các phòng không được tốt lắm"
1617,-1.0,"Checking chậm, mất 30 phut gần 3h mới đươc nhận phòng."
1618,1.0,"Khách sạn đẹp, nhân viên thân thiện, nhiệt tình!!!"
1619,1.0,"Khách sạn mới. Không gian rộng thoải mái, nhưng ít hoạt động do mới hoạt động lại."
1622,1.0,Thật tuyệt vời không biết dùng từ gì đễ diễn ta. 3 ngày ở tại The Costa thật sự thoải mái. Vật dùng đồ dùng rất ư đầy đủ ý như ở nhà không thiếu gì hết. Có dịp mình sẽ ghé lại
1624,1.0,"Khách sạn tuyệt vời, phòng đẹp, nhân viên lich sự, chuyên nghiệp."
1625,1.0,"Phòng sạch sẽ, rộng thoáng, nhân viên nhiệt tình. rất hài lòng.!!"
1626,1.0,Căn hộ rộng rãi tiện nghi bạn nhân viên nhiệt tình
1628,1.0,"Khách sạn gần biển, phòng sạch sẽ, cute. Lần sau bọn mình sẽ quay lại"
1629,1.0,Check in và check out rất nhanh. Bữa sáng phục vụ tại phòng khá ổn.
1630,1.0,"Khách sạn rất sạch sẽ, yên tĩnh, đi lại thuận lợi và nhân viên thân thiện."
1631,1.0,"Chất lượng phục vụ tốt, nhân viên thân thiện, không gian phòng thoáng mát, giá cả phù hợp với vị trí. Rất tốt. Lần sau sẽ tiếp tục quay lại."
1632,1.0,"Kỳ nghỉ tuyệt vời, phòng khách sạn đẹp, view biển đẹp, đồ ăn ngon nhân viên nhiệt tình"
1633,1.0,"Phòng rộng, nội thất đẹp. Nhân viên nhiệt tình"
1634,1.0,"Tôi đã ở trong khách sạn xinh xắn này vài lần và rất vui khi trở lại Hanoian Elite Home Hotel. Nhân viên rất xuất sắc. Berry chăm sóc chúng tôi một cách đáng kinh ngạc, đảm bảo chúng tôi có mọi thứ chúng tôi cần. Toàn bộ nhân viên rất thân thiện và hiệu quả. Các bữa ăn sáng là cà phê ngon và chất lượng tốt. Dễ dàng để đề nghị một kỳ nghỉ tại khách sạn này."
1635,1.0,"Phòng sạch sẽ, gọn gàng, thơm. Bác chủ nhà đáng yêu và thân thiện. Quan tâm hết cỡ luôn ý 😍"
1636,1.0,"Mọi thứ đều ổn, chỉ ngoại trừ hơi ồn ào, hồ bơi hơi dơ & thức ăn chưa thực sự ngon miệng"
1637,1.0,"Khách sạn ngày dịch vắng tanh chỉ có mỗi phòng mình. Nghĩ mà buồn. Dịch vụ khách sạn tốt, anh quản lý đáng yêu vui tính, còn cho bọn mình mượn xe đi chơi nữa. Sáng anh ý làm phở sáng rất ngon nha. Dich vụ tốt, ổn, giá tốt, cạnh trung tâm đi bộ ra quảng trường lun. Đánh giá 1 tỷ sao"
1638,1.0,"Mình đặt phòng 450k/đêm thấy giá tiền không xứng với chất lượng. Trong khi nhà nghỉ bình dân giá cũng chỉ hơn 500k, sẽ không quay lại đây"
1639,1.0,Mọi thứ đều tốt ngoại trừ hồ bơi nhỏ.
1640,-1.0,"Mình cùng gia đình đi cần thơ chơi và đọc thấy được khách sạn là khen tốt nên đặt thử, nhưng thật sự không như vậy quá tệ từ nhân viên đến phòng. Thất vọng 😭"
1642,-1.0,Khách sạn trung tâm tiện đi lại nhưng cơ sở vật chất quá cũ rồi và chắc do dịch nên cũng kém hơn do thiếu nhân viên. Không còn buffet ăn sáng đáng nhẽ phải trừ tiền phòng lại tự động up phòng của khách lên mặc dù khách không kịp tìm hiều cái phòng được up lên có gì khác với phòng khách đã đặt hay là ko! (xem lại hình ảnh giá tiền thì không hề khác)
1643,-1.0,"Book phòng trừ tiền, mà 10h tối tới nhận phòng kêu hết phòng. đòi lại tiền thì mới chịu sắp xếp phòng..."
1644,1.0,"khách sạn sạch sẻ thoáng mát, nhân viên nhiệt tình tư vấn cho khách, đồ ăn sáng ổn so với khẩu vị của tôi, sẽ quay lại khách sạn khi đi nghỉ tại Phú quốc."
1645,1.0,Tôi đã chọn khu nghỉ mát này cho kỳ nghỉ của mình mỗi lần đến đây. Tôi đã có một kỳ nghỉ tuyệt vời với bạn bè của tôi ở đây như mọi khi. Các nhân viên được hỗ trợ và thân thiện. Chắc chắn sẽ quay lại lần sau.
1646,-1.0,"Phòng xuống cấp, không như hình vẽ, phòng có khoá cưa hơi nguy hiểm"
1647,1.0,"Phòng sạch, view đẹp. Nhân viên rất thân thiện. Nếu ở đây đừng quên trải nghiệm hồ bơi ngắm cảnh đêm Đà Nẵng bạn nhé"
1648,1.0,"Gần những nơi quan trọng, khách sạn sạch sẽ, không gắn liền với căn phòng nhỏ, có thể cảm thấy thoải mái. Bữa sáng có thể không phải là điều đúng đắn cho người Thái. Nhưng có nhiều lựa chọn, thử và nếm thử"
1649,1.0,"Mình thấy Fireworks là một nơi rất đáng để ở nha. Cách phố cổ khoảng 1 km, đi lại rất thuận tiện. Phòng ốc thì cực kì sạch sẽ, thoáng đãng, tiện nghi. Chỗ ở có sẵn xe đạp luôn, cô chú cho mượn chứ hông cho thuê nha :)) Điều mình yêu quý chỗ này nhất là cô chú cực kì thân thiện và mến khách luôn. Mình tới ngay ngày tết đoan ngọ nên được cô chú mời bánh ú và chè kê. Trước khi đi mình còn được tặng chai nước và cái chuối chiên nữa. Hy vọng mình sẽ có dịp quay lại đây và thăm cô chú lần nữa."
1650,1.0,"Khách sạn gần trung tâm, dịch vụ tốt"
1651,1.0,"Phòng hơi nhỏ nhưng đầy đủ tiện ích, sạch sẽ, nhân viên thân thiện."
1652,1.0,"Phòng rộng, sạch sẽ, nhân viên cực nhiệt tình. Đồ ăn sáng chán, bể bơi bé & nước không được trông. 6h sáng tắm bể bơi mà không có ô che ghế nằm nên nắng. Làm mặc đồ bơi xuống rồi lại đi lên."
1653,1.0,"Sạch sẽ, view đẹp, nhân viên và anh chị chủ cực dễ thương!!"
1654,1.0,"Luôn chọn Minh Chiến khi đến Đà Lạt vì mình quá yêu thích nệm chăn gối ở đây, êm ái vô cùng, ngủ ngon không đau lưng. Mỗi sáng thức dậy còn có tiếng chim hót líu lo. Phòng tầng B2 có cửa ra sân vườn rất thoáng đãng, nhiều hoa tươi thơm mát. Mỗi phòng đều có cửa sổ to thoáng đãng. Giao thông thuận tiện, ra chợ rất gần, đêm xuống ngủ thì lại yên tĩnh. Giá phòng gồm ăn sáng mà lại rất mềm. Nhân viên thân thiện, lịch sự. Đặc biệt rất linh động trong việc Check In sớm. Hãy chọn Minh Chiến nhé các bạn, đã lỡ yêu nơi đây."
1655,1.0,"Mình và các bạn rất hài lòng khi ở đây. Mọi thứ đều tuyệt vời. Phòng ốc chăn ga sạch sẽ, điều hoà êm ái mát lạnh, nước nóng luôn sẵn sàng, mọi thứ trồn đều rất mới, các bạn nhânviên phục vụ thì thân thiện và chu đáo. Vị trí lại là trung tâm nên rất tiện để di chuyển các nơi. Vote 5* nè, các bạn cứ yên tâm khi lựa chọn ở đây nhé!"
1656,-1.0,"Khách sạn không như hình,thiếu ánh sáng, âm u và tăm tối, không có lễ tân, chỉ có hai bác bảo vệ già nua, phòng cũng sạch nhưng âm u lắm, wifi yêu không sử dụng được bực cả mình, đèn cầu thang không bật sáng, khách ra ngoài không bít ai tự ý vào phòng tắt điện tối thôi phòng! Lỡ trả tiền nên phải ở ở xong ám ảnh sốt hai ngày trời! Do nhà sắc thái không tốt, thật kinh khủng"
1657,-1.0,"Khách sạn cách âm rất kém, phòng 4 diện tích nhỏ, cơ sở vậy chất tương đối cũ, không có bảo vệ trông xe, nhân viên lễ tân coi xe bằng camera"
1659,-1.0,"Khá ổn, phòng cách âm kém. Không có chỗ đậu xe!"
1661,1.0,"phòng đẹp, rộng rãi, giường rất êm, dịch vụ khá tốt. khách sạn gần trung tâm, nhưng hơi xa biển"
1662,1.0,"Mọi người tới đây nhớ book phòng view hồ bơi ạ, phải nói là nó đã gì đâu kaka 💗"
1664,1.0,"Sạch sẽ, thoải mái, chỉ vì nơi đó có một cuộc sống về đêm lấp lánh. Vì vậy, nếu tên là ồn ào, xin vui lòng hiểu. Có thể đến 5 giờ sáng. cứ bình tĩnh."
1665,1.0,"Phòng sạch sẽ, có cửa sổ view ngay cái trường học có cây xanh rất mát"
1666,-1.0,"Trời nóng, đợi từ lúc 12h đến 14h20 chưa được nhận phòng. Mệt mỏi, chắc chắn sẽ không quay lại lần nữa"
1667,1.0,Kỳ nghỉ rất tuyệt vời bên gia đình
1668,1.0,"Tuyệt vời, sạch sẽ, hữu ích và thân thiện"
1669,1.0,"Khách sạn đẹp, sạch sẽ, ngăn nắp. Thích nhất là có nhiều mảng xanh và view sông rất thơ mộng. Thức ăn sáng phong phú với 1 món chính, 1 món phụ, 1 loại thức uống và 1 tráng miệng. Rất ngon và no. Nhân viên rất thân thiện và nhiệt tình. Rất hài lòng và sẽ giới thiệu với bạn bè."
1670,-1.0,Sạch sẽ nhưng wifi kém và lỗi.
1671,1.0,"Nhân viên phục vụ tận tình và cởi mở. Phòng ở sạch đẹp và tiện ích. Vị trí khách sạn ngay gần biển, nhìn ra đẹp lắm. Bữa sáng cũng được chuẩn bị rất chu đáo."
1672,1.0,Luôn chọn lữa mỗi khi có những lần lên Sài Gòn oqr lại
1673,1.0,"khách sạn mới, cũng gần trung tâm thành phố. chị chủ rất dễ thương và các em nhân viên cũng rất nhiệt tình, giá quá rẻ so với những khách sạn khác. nhất định sẽ quay trở lại khi lên ĐL."
1675,1.0," khách sạn sạch sẽ, khung cảnh đẹp, nhân viên thân thiện nhiệt tình,"
1677,1.0,"Phòng gia đình rất rộng và thoải mái, duy nhất caia nhà vệ ainh thì nước khá yếu và nhỏ so với diện tích căn phòng. Mình đến trễ và đi sớm nên không gặp anh chủ nhà mà chì gặp em trai của anh, nói chung về service thì ok ở mức chấp nhận và hài lòng cơ bản. Nhà ở đường nhỏ nên ít xe, ban đêm ngủ thoải mái chứ không sợ mấy xe tải chạy ầm ầm bên ngoài."
1678,1.0,"Khách sạn đúng như mô tả, ngay trung tâm thành phố, gần biển, phương tiện di chuyển rất tiện lợi đặc biệt là Grab. Tuy nhiên ăn sáng buffet hơi nghèo nàn, mình cũng nghĩ do mùa này kháchsạn ít khách nên thông cảm được"
1679,1.0,"Nhân viên đáng yêu Ngay cả nói tiếng anh Không hoàn toàn, nhưng tất cả mọi người đang cố gắng để giao tiếp. Rất ấn tượng. Chỗ ở là ok. Không hối tiếc. Không ăn sáng."
1680,1.0,"nhân viên lễ tân ở đây rất dễ thương, view ban công cực đẹp"
1681,-1.0,Có nhiều muỗi ở trong phòng. Sen tắm đứng nước xả quá yếu. Nhà hàng ít món hải sản.
1682,1.0,Phòng rộng đẹp sạch sẽ. nhânviên chuyên nghiệp. đồ ăn ngon. mỗi tội đi chơi không thuận tiện lắm. phải đi bộ tầm 1km
1683,1.0,"Tôi nói với họ rằng tôi sẽ đến trễ rất nhiều để đến nơi, tôi không thể hoàn lại tiền, vì vậy tôi hỏi tôi có thể đặt thêm một đêm vào ngày hôm sau không vì khi tôi tìm kiếm họ có phòng trống trên ứng dụng vào ngày hôm đó. Nhưng họ đã từ chối tôi. Vì vậy, tôi quyết định tôi sẽ không bao giờ quay lại điều này."
1684,1.0,Mình đã có những trải nghiệm cực kì tuyệt vời ở đây
1685,1.0,"Mình quay lại Poetic Huế vì đã trải nghiệm 1 lần ở đây rồi, lúc đó Khách sạn khá sạch sẽ, trang trí phòng khá ổn so với giá tiền. Lần này thì mình được chuyển đến 1 khách sạn khách, nghe chị chủ nói là cùng trong hệ thống tên là Sunshine. Khi vào phòng thì khá la thất vọng, không được như mình mong đợi."
1686,1.0,"Nơi ở rất yên tĩnh, cô phục vụ phòng tận tuỵ, lễ tân đều là nam nhưng nói chuyện nhẹ nhàng. Phòng rộng rãi, sạch sẽ. Duy chỉ 1 điểm trừ là ống nước của bệ rửa bị rò, rửa tay tiện rửa luôn cả chân 😂."
1687,1.0,sạch sẽ gọn gàng nhìn được cảnh biển
1688,1.0,"Sevice ổn. Phòng sạch sẽ, gần biển tiện đi lại."
1689,1.0,"Trên thực tế, có một lựa chọn cho Trung lập? Ổn mà. Phòng sạch sẽ. Chỉ là tủ quần áo không đủ chiều dài, nó có một nửa chiều dài. Tôi phải treo những chiếc váy dài của tôi trong phòng tắm. Họ đã không phục vụ giỏ trái cây được cho là ở đó để chào đón. Sảnh đến khách sạn thực sự là quá nhỏ. Cafe đến khách sạn phục vụ thức ăn ngon. Vì vậy, có những ưu điểm và nhược điểm."
1690,1.0,"không gian khách sạn quá đẹp, rất nhiều hoa và cây xanh, phòng rộng rãi có hướng nhìn ra núi rất đẹp, bữa sáng rất nhiều lựa chọn, nhân viên rất nhiệt tình giúp đỡ khách. cảm ơn các bạn nhiều!"
1691,-1.0,Phòng hôi. Dơ dơ không sạch sẽ. Nhân viên không nhiệt tình. Tóm lại không đáng cho 1 sao được. Hình ảnh chỉ mang tính chất minh hoạ. Không sạch sẽ như trong hình được
1692,1.0,phòng giống trong hình sạch sẽ nhân viên thân thiện
1693,1.0,"Kế hoạch của tôi là ở lại 1 đêm, nhưng tôi có một số việc cần làm ở quê nhà sau đó tôi về sớm. Nhân viên rất thân thiện và chuyên nghiệp. Tôi rất thoải mái với họ. Phòng đẹp (tôi hy vọng tôi có thể ở lại nhưng không có sự lựa chọn). Lần sau tôi sẽ ở lại lâu hơn. Rất khuyến khích."
1694,1.0,"Khách sạn sạch sẽ, đầy đủ tiện nghi, nhân viên lễ tân chu đáo thân thiện, giá cả hợp lý, mình đặt trước trong dịp tết nên được giá quá hời luôn, chỉ có điều buffet sáng không được làm mới và ít món ăn không đa dạng, nhưng với giá cả này chắc chắn sẽ còn quay lại nữa, cảm ơn"
1695,1.0,"Tuy resort hơi đông nhưng cũng ổn, đồ dùng đầy đủ! Nói chung ok"
1696,1.0,"Phòng tiện nghi, nhưng nước hơi yếu (mình ở tầng 5). Ăn sáng ngon và đa dạng. Hồ bơi đẹp."
1697,1.0,"Bữa sáng tuyệt vời, nhân viên thân thiện dễ thương. Vợ chồng mình đã có một kỳ nghỉ không thể chê được ở khách sạn này."
1698,1.0,"Nhân viên nhiệt tình, thân thiện. Phòng sạch sẽ. Tuy nhiên khách sạn dùng đèn vàng cảm giác hơi tối."
1699,1.0,Ks giống ảnh ! Nhân viên dễ thương !
1700,1.0,"Trước tiên phải nói đến các bạn nhân viên cực thân thiện, giá thành của phòng không đắt chút nào mà phục vụ lại chuyên nghiệp. Phòng sạch sẽ, thơm tho khi mình vừa nhận phòng, nếu trong thời gian nghỉ cần dọn phòng có thể treo biển để các bạn nhân viên dọn dẹp. Thật sự là một hostel tuyệt vời ❤️"
1701,1.0,"Homestay sạch sẽ, thoải mái, decor đẹp, chị chủ nhiệt tình, gần bãi biển, dễ dàng di chuyển đến các điểm tham quan khác. Sẽ quay lại khi có dịp đến Đà Nẵng ❤️"
1702,1.0,Khách sạn chỉ 3*. Phòng hơi nhỏ. Sạch sẽ và tiện đi lại
1703,1.0,"Khách sạn mới, sạch sẽ, hiện đại, gần trung tâm, tiện đi lại."
1704,1.0,"Mình tìm được khách sạn trên app, thấy giá phòng cũng khá ổn, chụp hình phòng sạch sẽ, thoáng, gần biển. Lúc đến nhận phòng thấy hơi hoang mang xíu. Phòng mùi rất hôi của cống, không có nước nóng. Đệm rất mùi và ẩm. Mình nhận phòng vào 4h sáng, cố ở đó đến 5h sáng thuê xe đi chơi và tìm phòng khác luôn, mặc dù mình đã thanh toán tiền 2 đêm ở đấy, nhưng vẫn quyết định chuyển nơi lưu trú vì quá ghê hic."
1705,1.0,"Anh chị chủ rất dễ thương. Cách phố cổ tầm 500m, có xe đạp để đi lại. Phòng và toilet rất sạch, thiết kế lại thông minh. Mình rất hài lòng khi ở đây. Sẽ quay lại và giới thiệu bạn bè thêm nữa. Hooney moon tuyệt vời."
1707,1.0,"bác chủ nhà siêu đáng yêu và tốt bụng ạ, có cả một em cún đáng yêu không kém ^^"
1708,-1.0,Nhân viên không niềm nở. Dịch vụ kém
1709,1.0,"khách sạn đẹp như hình - giá cả hợp lý vào mùa cao điểm, vị trí gần chợ ĐàLạt và nhân viên thân thiện . Nhất định sẽ quay lại"
1712,1.0,"Không gian phòng rất sạch sẽ, tiên nghi nhất là có cả bàn bếp, khách sạn chuẩn bị rất chu đáo như nổi, chảo, bếp... thậm chí là đá uống nước. Ra vào bằng thẻ khoá từ nên cảm giác an toàn hơn. Nếu có cơ hội vào lần tới sẽ tiếp tục ở đây"
1713,1.0,"Kỳ nghĩ tuyệt vời. Phòng sạch sẽ, nội thất đầy đủ. Kháchsạn gần biển, khu ăn uống. Cô chủ siêu cute, siêu dễ thương. Đánh giá 5 sao"
1714,1.0,"Khách sạn thoáng mát, sạch sẽ, lễ tân thì nhiệt tình, phòng có cửa sổ có thể nhìn ra biển, bữa ăn sáng cũng tương đối ổn. Nếu có dịp sẽ quay lại."
1715,1.0,"Khách sạn phù hợp cho mọi đôi tượng, kể cả gia đình đi nghỉ. Khách sạn sạch đẹp, đầy đủ tiện nghi như 1 căn hộ: có tủ lạnh, lò vi sóng, ti vi, máy giặt, mấy sấy quần áo nên các bạn không cần lo về việc giặt giũ và phơi quần áo. trên sân thượng có phòng xông hơi vả hồ bơi nhỏ. Từ khách sạn ra biển chỉ khoảng hơn 100m nên mn có thể đi bộ ra tắm. Chỗ giữ xe khá rộng rãi."
1716,1.0,"Nước tắm nóng hoặc lạnh không điều chỉnh được nhiệt độ ấm. Hồ bơi thì nước quá lạnh, không bơi nhiều được."
1717,1.0,"Tôi cảm thấy rất hài lòng trong thời gian lưu trú tại đây. Khách sạn rất thoả mái về thời gian, mới, sạch sẽ và cố gắng đáp ứng mọi nhu cầu của gia đình tôi. Chủ khách sạn rất hiếu khách. Tôi rất muốn giới thiệu khách sạn với nhiều người"
1718,1.0,"Phòng đẹp, dịch vụ tốt. Vị trí gần trung tâm và sân bay"
1719,-1.0,"Đồ ăn không ngon. Phòng tuy có dọn dẹp gọn gàng nhưng rất nhiều muỗi (mặc dù khách sạn có dịch vụ giăng mùng, nhưng mùng bị lủng rất nhiều nơi). Thực đơn không phong phú, số lượng - chất lượng chỉ đạt mức trung bình thấp. Bãi biển không đẹp, nhiều đá ngầm và dơ!"
1720,1.0,Tôi đã có kỳ nghỉ tuyệt vời tại đây
1722,-1.0,Xếp phòng mình tâng 6. Mà không có thang máy. Travel nên xem lại cách check khách sạn của mình
1723,1.0,Đồng ý
1724,1.0,"Tôi đã có một ở lại dễ chịu ở đây. Chúng tôi ở trong phòng gia đình. Những chiếc giường ấm cúng. Tôi muốn giới thiệu khách sạn này cho tất cả mọi người. Các nhân viên là tuyệt vời. Quá tệ, chúng tôi ở đây chỉ một đêm."
1726,1.0,Khách sạn sạch đẹp. Chủ khách sạn dể thương. Rất hài lòng. Chỉ tội lên dốc cao quá. Nhưng bù lại có chổ để xe ô tô. Xe lớn. Ok.
1727,-1.0,"phòng và tiện ích kém, không có nước uống miễn phí, wifi chậm"
1728,1.0,Rất tuyệt tại đây. Dịch vụ tốt. Phòng ốc sạch sẽ và sang. Đặc biệt cô chủ dễ thương và mến khách như con cái trong nhà. Nhất định sẽ quay lại đây.
1729,1.0,"Khách sạn này hoàn hảo cho du lịch một mình hoặc cặp vợ chồng. Địa điểm tọa lạc tại Phạm Ngũ Lão, gần một số địa điểm thu hút ở Sài Gòn. Bữa sáng cũng đẹp và đủ để bắt đầu hành trình khám phá quanh Sài Gòn."
1730,1.0,phòng rộng rãi view đẹp phục vụ siêu tốt luôn ạ sẽ quay lại vào lần sau ❤
1731,1.0,"Nhân viên rất thân thiện, quán cafe xinh, đồ uống ngon Phòng rất nhỏ, có muỗi. Cả đêm không thể ngủ được Phòng chỉ phù hợp bạn trẻ, không phù hợp người quen không gian rộng và giađình Với mức giá phòng rẻ nhất 600k đến 1tr thì h này (7.2020) b có thể ở được rất nh khách sạn 3 đến 5 sao"
1732,1.0,"Nv dễ thương, nhiệt tình, phòng ốc sạch sẽ, gần phố đi bộ"
1733,1.0,Các nhân viên rất hữu ích và tốt đẹp! Căn phòng sạch và đẹp!
1734,-1.0,khách sạn 12h vẫn còn quá ồn. đi du lịch nghỉ ngơi như tra tấn một trải nghiệm tệ hại. không mong muốn quay lại
1735,1.0,"Phòng mới, sạch sẽ, đặc biệt view cực đẹp, nằm cạnh bến xe liên tỉnh Đà Lạt, sẽ quay lại nếu có dịp!"
1737,1.0,"khách sạn ngay trung tâm giá ok nhưng khi ở thêm vài tiếng nữa, trước khi ở quản lí đã nói giá không ro ràng lắm"
1739,1.0,"Vị trí rất dễ tìm, gần cầu Rồng và sông Hàn, trước nhà trọ là chợ Hàn. Thật dễ dàng để tìm thấy xe buýt địa phương quá."
1740,-1.0,"Phòng cũ, tường ẩm, bong tróc, không có nước nóng khi tắm, điện thoại trong phòng gọi xuống lễ tân không có tín hiệu, nhà tôi xuống trực tiếp hỏi lễ tân thì bảo là chạy bằng năng lượng mặt trời, chị mở vòi khoảng 5-7 phút mới ấm. Tôi yêu cầu nhân viên Kháchsạn trực tiếp lên mở, sau 1 hồi loay hoay không có nước nóng thì chuyển gia đình tôi sang 1 phòng khác. Tại phòng này, nước nóng để tắm đã có nhưng phòng tắm bẩn, mốc trên tường. Máy sấy không có, ti vi điều khiển hết pin. Rất không hài lòng về khách sạn này"
1742,1.0,"Khách sạn đẹp, sang trọng, phòng mới sạch sẽ. Nhân viên thân thiện, nhiệt tình."
1744,1.0,"Bữa sáng ngon, phục vụ tốt"
1753,1.0,"Mình thích địa điểm, ks nằm giữa trung tâm. Khoảng cách từ ks đến nhà thờ, chợ tình, Sun plaza chỉ 80-120m. Khách sạn mới, sạch sẽ, thiết kế theo phong cách Châu Âu. Nói chung là mình cực kì hài lòng."
1766,1.0,"quiet and close to the old town, there is a park nearby, my friend and I were here when we toured Hoi An, the surrounding facilities can provide our needs, all comedic Please, we will be back here."
1791,1.0,Amazing 
